origem,destino,peso
i|d|bertulucci rocha rodrigues,f|marcos|silva,23
i|d|bertulucci rocha rodrigues,f|virmondes|rodrigues,43
i|d|bertulucci rocha rodrigues,i|c|jose freire oliveira,8
i|d|bertulucci rocha rodrigues,i|j|reis machado,11
i|d|bertulucci rocha rodrigues,i|s|aparecida de lima pereira,21
i|d|bertulucci rocha rodrigues,i|m|antonia dos reis,12
i|d|bertulucci rocha rodrigues,i|v|de paula antunes teixeira,5
i|d|bertulucci rocha rodrigues,i|j|emilio lazo chica,2
i|d|bertulucci rocha rodrigues,i|s|jorge adad,5
i|d|bertulucci rocha rodrigues,i|r|margarida etchebehere,4
i|d|bertulucci rocha rodrigues,i|f|rodrigues helmo,4
i|d|bertulucci rocha rodrigues,i|f|bernadelli de vito,4
i|d|bertulucci rocha rodrigues,f|dalmo|correia,4
i|d|bertulucci rocha rodrigues,i|e|lages silva,3
i|a|claudia granato,i|m|hitomi okura,16
i|a|claudia granato,i|g|roger pointer malpass,33
i|m|s da luz,i|r|valentim gelamo,3
i|m|s da luz,i|d|carneiro ferreira,12
i|m|s da luz,i|j|cesar de souza inacio goncalves,13
i|m|s da luz,i|r|s silva,2
i|m|s da luz,i|g|roger pointer malpass,3
i|m|s da luz,i|k|graciele dos santos,3
i|c|gomez hernandez,i|a|luiz pedrosa,3
i|c|gomez hernandez,i|e|lages silva,6
i|c|gomez hernandez,i|l|eduardo ramırez,8
i|c|gomez hernandez,f|marcos|silva,8
i|c|gomez hernandez,f|virmondes|rodrigues,11
i|c|gomez hernandez,i|c|jose freire oliveira,3
i|c|gomez hernandez,i|j|reis machado,3
i|c|gomez hernandez,i|f|rodrigues helmo,2
i|c|gomez hernandez,i|f|bernadelli de vito,2
i|c|gomez hernandez,i|h|moraes souza,2
f|dalmo|correia,i|e|lages silva,14
f|dalmo|correia,f|aluizio|prata,13
f|dalmo|correia,f|virmondes|rodrigues,17
f|dalmo|correia,f|marcos|silva,10
f|dalmo|correia,i|a|luiz pedrosa,3
f|dalmo|correia,i|l|eduardo ramırez,3
f|dalmo|correia,i|m|leon silva vergara,5
f|dalmo|correia,i|v|jose dias da silva,10
f|dalmo|correia,i|m|antonia dos reis,3
f|dalmo|correia,i|v|de paula antunes teixeira,2
f|dalmo|correia,i|c|jose freire oliveira,2
f|dalmo|correia,i|j|reis machado,4
f|dalmo|correia,i|o|barbosa neto,3
i|l|fernanda rodrigues martinho fernandes,f|eduardo|crema,3
i|l|fernanda rodrigues martinho fernandes,i|n|miguel lopes de oliveira,3
i|l|fernanda rodrigues martinho fernandes,i|i|aparecida porcatti de walsh,2
i|l|fernanda rodrigues martinho fernandes,i|l|aparecida pascucci sande de souza,11
i|l|fernanda rodrigues martinho fernandes,i|l|jorge patrizzi,2
i|l|fernanda rodrigues martinho fernandes,f|dernival|bertoncello,10
i|l|fernanda rodrigues martinho fernandes,f|karina|pereira,2
